S. No.,ApplicationId,Startup/Company Legal Name,"Technology
Readiness
Level (TRL)",Theme,Sheet
1,BHAR-477035,GRAINIQ INNOVATIONS PRIVATE LIMITED,9,Agri & Food Technologies,Table_1
2,BHAR-467480,CYBOGLABS PRIVATE LIMITED,3,Blue Economy,Table_1
3,BHAR-465711,Advanced Renewable Tandem-Photovoltaics India Pvt. Ltd.,5,"Energy, Sustainability, and Climate Change",Table_1
4,BHAR-448999,CDSpace Robotics Private Limited,7,Space and Defence,Table_1
5,BHAR-425959,ELECTROPRINT NEYUG PRIVATE LIMITED,3,Healthcare & MedTech,Table_1
6,BHAR-357083,,4,Healthcare & MedTech,Table_1
7,BHAR-344806,,3,Biotechnology,Table_1
8,BHAR-345374,,6,Healthcare & MedTech,Table_1
9,BHAR-346762,Edhaa Innovations Private Limited,6,Healthcare & MedTech,Table_1
10,BHAR-324447,Agnikul Cosmos Pvt Ltd,6,Space and Defence,Table_1
11,BHAR-324328,,3,Biotechnology,Table_1
12,BHAR-325305,PlebC Innovations Private limited,6,Healthcare & MedTech,Table_1
13,BHAR-214749,Intiot services pvt. Ltd.,9,Disaster Management & Resilient Infrastructure,Table_1
14,BHAR-203544,Aumsat Technologies LLP,9,Smart Cities & Mobility,Table_1
15,BHAR-195665,maritime info Lab Pvt ltd,8,Blue Economy,Table_1
16,BHAR-185588,Inphlox Water Systems Private Limited,9,"Energy, Sustainability, and Climate Change",Table_1
17,BHAR-095241,,4,Biotechnology,Table_1
18,BHAR-947136,Vidcare Innovations Private Limited,5,Healthcare & MedTech,Table_1
19,BHAR-836196,NILICO GREEN TECHNOLOGIES PVT LTD,4,"Advanced Materials, Rare-earth & Critical Minerals",Table_1
20,BHAR-835652,Solaire Initiative Pvt Ltd,9,Biotechnology,Table_1
21,BHAR-812067,ANURANAN CREATIVE SOLUTIONS PRIVATE LIMITED,5,Manufacturing & Industry 4.0,Table_1
22,BHAR-701228,WeVOIS Labs Private Limited,9,"Energy, Sustainability, and Climate Change",Table_1
23,BHAR-707789,ANURANAN CREATIVE SOLUTIONS PRIVATE LIMITED,6,Semiconductors,Table_1
24,BHAR-702839,Nabhdrishti Aerospace Private Limited,5,Space and Defence,Table_1
25,BHAR-685711,,6,Biotechnology,Table_1
26,BHAR-355415,Xovian Aerospace Pvt Ltd,7,Space and Defence,Table_1
27,BHAR-264756,Nuvelle Approche,5,Healthcare & MedTech,Table_1
28,BHAR-265444,Bariflo Cybernetics Private Limited,7,Manufacturing & Industry 4.0,Table_1
29,BHAR-228371,CUERON GLOBAL PRIVATE LIMITED,4,Agri & Food Technologies,Table_1
30,BHAR-223199,,8,Agri & Food Technologies,Table_1
31,BHAR-222966,Pantherun Technologies Private Limited,9,Next-Gen Communications,Table_1
32,BHAR-201653,,4,Biotechnology,Table_1
33,BHAR-206849,Imagine Labs Pvt Ltd,5,Agri & Food Technologies,Table_1
34,BHAR-107916,SimDaaS Autonomy Pvt Ltd,7,Smart Cities & Mobility,Table_1
35,BHAR-094163,,3,Biotechnology,Table_1
36,BHAR-091344,,4,Biotechnology,Table_1
37,BHAR-084055,Inventor's Den Pvt Ltd,8,Blue Economy,Table_1
38,BHAR-088444,Arundhati Healthcare Private Limited,3,Biotechnology,Table_1
39,BHAR-089996,Eliciton Innovations Private Limited,7,Biotechnology,Table_1
40,BHAR-068025,Denovo Bioinnovation Private Limited,5,Healthcare & MedTech,Table_1
41,BHAR-009514,,9,Agri & Food Technologies,Table_1
42,BHAR-989125,,7,Biotechnology,Table_1
43,BHAR-963878,Coratia Technologies Private Limited,9,Disaster Management & Resilient Infrastructure,Table_1
44,BHAR-954019,WiSig Networks Private Limited,7,Next-Gen Communications,Table_1
45,BHAR-952228,QuSyn Tech,4,Space and Defence,Table_1
46,BHAR-954048,,5,Agri & Food Technologies,Table_1
47,BHAR-959674,,5,Healthcare & MedTech,Table_1
48,BHAR-946806,,3,Healthcare & MedTech,Table_1
49,BHAR-863882,Aurassure Pvt Ltd,8,"Energy, Sustainability, and Climate Change",Table_1
50,BHAR-869163,,5,Biotechnology,Table_1
51,BHAR-788354,Sunfox Technologies Private Limited,9,Healthcare & MedTech,Table_1
52,BHAR-762435,,6,Healthcare & MedTech,Table_1
53,BHAR-762452,,6,Biotechnology,Table_1
54,BHAR-653874,,4,Biotechnology,Table_1
55,BHAR-398162,DDH Innovations LLP,6,"Energy, Sustainability, and Climate Change",Table_1
56,BHAR-025339,Vecmocon Technologies Private Limited,9,Smart Cities & Mobility,Table_1
57,BHAR-018899,,3,Agri & Food Technologies,Table_1
58,BHAR-971468,,3,Manufacturing & Industry 4.0,Table_1
59,BHAR-929394,X2Fuels and Energy Private Limited,7,"Energy, Sustainability, and Climate Change",Table_1
60,BHAR-927909,Heamac Healthcare Private Limited,9,Healthcare & MedTech,Table_1
61,BHAR-921131,HN TECHNOVATIONS LLP,8,Disaster Management & Resilient Infrastructure,Table_1
62,BHAR-908148,Yali Mobility Private Limited,7,Smart Cities & Mobility,Table_1
63,BHAR-902654,Raytom Medical Systems Private Limited,7,Manufacturing & Industry 4.0,Table_1
64,BHAR-848354,RAU ECOSTONE PRIVATE LIMITED,7,"Energy, Sustainability, and Climate Change",Table_1
65,BHAR-839014,Svabag Labs Private Limited,5,"Energy, Sustainability, and Climate Change",Table_1
66,BHAR-835147,INDIGOTEX PRIVATE LIMITED,7,"Energy, Sustainability, and Climate Change",Table_1
67,BHAR-834186,Cellverse pvt ltd,7,Healthcare & MedTech,Table_2
68,BHAR-837606,Ecovative Innovations Private Limited,6,Agri & Food Technologies,Table_2
69,BHAR-829264,NeoMotion Assistive Solutions Pvt Ltd,9,Smart Cities & Mobility,Table_2
70,BHAR-828497,BetterToday Alternatives Private Limited,4,"Energy, Sustainability, and Climate Change",Table_2
71,BHAR-828492,CHEMGREEN INNOVATIONS PRIVATE LIMITED,6,Agri & Food Technologies,Table_2
72,BHAR-822150,Lifespark Technologies Private Limited,8,Healthcare & MedTech,Table_2
73,BHAR-829687,iMumbai Semiconductor Private Limited,7,Semiconductors,Table_2
74,BHAR-821443,,6,"Energy, Sustainability, and Climate Change",Table_2
75,BHAR-828392,Galanto Innovations Pvt Ltd,8,Healthcare & MedTech,Table_2
76,BHAR-829648,Drizzle Health India Pvt. Ltd.,5,Healthcare & MedTech,Table_2
77,BHAR-824346,Godaam Innovations Pvt Ltd,7,Agri & Food Technologies,Table_2
78,BHAR-816287,,9,Agri & Food Technologies,Table_2
79,BHAR-814572,LivNSense GreenOps Private Limited,7,Smart Cities & Mobility,Table_2
